trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
263,False,"{'a': 0.75, 'e': 1.4457343607685523e-05}",30,0,48.331409791540125,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
264,False,"{'a': 0.75, 'e': 1.4348025711662075e-05}",20,11,17.032809292572285,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
265,False,"{'a': 0.75, 'e': 1.423994304022784e-05}",20,9,21.658941483226,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.75, 'e': 1.4133077053536096e-05}",20,16,7.19768850141971,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.75, 'e': 1.4027409558276873e-05}",20,15,8.97200764330676,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.75, 'e': 1.392292269993317e-05}",20,6,24.460899559557596,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.75, 'e': 1.3819598955238318e-05}",25,13,18.414643333858848,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.75, 'e': 1.3717421124828532e-05}",20,10,18.279341248126425,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.75, 'e': 1.3616372326084885e-05}",20,15,7.615122818421344,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.75, 'e': 1.351643598615917e-05}",25,14,21.918026347131985,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.75, 'e': 1.3417595835178253e-05}",25,17,15.130112630407888,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.75, 'e': 1.3319835899621716e-05}",20,0,33.74341866104139,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
275,False,"{'a': 0.75, 'e': 1.3223140495867768e-05}",35,21,23.727135658408326,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.75, 'e': 1.312749422390254e-05}",20,14,11.409268511158988,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
277,False,"{'a': 0.75, 'e': 1.3032881961188077e-05}",20,0,28.918941004409618,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
278,False,"{'a': 0.75, 'e': 1.2939288856684436e-05}",30,3,46.63673522589099,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.75, 'e': 1.2846700325021518e-05}",25,17,15.641337287922545,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.75, 'e': 1.2755102040816327e-05}",25,8,27.822762979455256,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.75, 'e': 1.2664479933131545e-05}",20,13,14.672019528038007,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.75, 'e': 1.2574820180071425e-05}",20,9,21.640809387667307,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.75, 'e': 1.2486109203511094e-05}",20,10,20.72223388084097,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.75, 'e': 1.2398333663955564e-05}",20,7,23.440336007402045,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.75, 'e': 1.2311480455524777e-05}",25,6,29.406681138358095,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.75, 'e': 1.2225536701061176e-05}",30,20,18.281237372057713,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.75, 'e': 1.2140489747356409e-05}",25,14,18.565225145582417,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.75, 'e': 1.2056327160493826e-05}",25,14,18.72339613624768,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.75, 'e': 1.1973036721303624e-05}",20,11,16.643534236826234,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.75, 'e': 1.1890606420927467e-05}",20,14,13.447000925443994,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.75, 'e': 1.1809024456489649e-05}",20,14,9.964907809610152,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.75, 'e': 1.1728279226871834e-05}",25,16,14.911041271943946,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.75, 'e': 1.1648359328588568e-05}",20,11,15.823594940982455,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.75, 'e': 1.156925355176084e-05}",35,13,38.039285525606566,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.75, 'e': 1.1490950876185005e-05}",20,7,24.543744825053217,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.75, 'e': 1.1413440467494522e-05}",20,15,8.225039050607364,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.75, 'e': 1.1336711673412011e-05}",20,16,6.389155237243972,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.75, 'e': 1.1260754020089185e-05}",20,13,10.835882085129565,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.75, 'e': 1.1185557208532343e-05}",25,0,37.83117747118065,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.75, 'e': 1.1111111111111112e-05}",25,16,16.742980745930815,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.75, 'e': 1.1037405768148255e-05}",20,9,20.673631339004245,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.75, 'e': 1.0964431384588396e-05}",20,9,20.933239318100767,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
303,False,"{'a': 0.75, 'e': 1.0892178326743566e-05}",25,0,42.715488869860394,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
304,False,"{'a': 0.75, 'e': 1.0820637119113573e-05}",20,0,31.42032689840955,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
305,False,"{'a': 0.75, 'e': 1.0749798441279227e-05}",20,0,22.148231064918185,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
306,False,"{'a': 0.75, 'e': 1.0679653124866504e-05}",20,10,20.327910186919738,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
307,False,"{'a': 0.75, 'e': 1.0610192150579848e-05}",20,12,18.391182862703495,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.75, 'e': 1.0541406645302749e-05}",20,16,8.43002954403174,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
309,False,"{'a': 0.75, 'e': 1.0473287879263938e-05}",25,8,27.70995809591072,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
310,False,"{'a': 0.75, 'e': 1.040582726326743e-05}",30,18,24.896954504783615,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
311,False,"{'a': 0.75, 'e': 1.0339016345984843e-05}",20,11,15.857944318779579,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
312,False,"{'a': 0.75, 'e': 1.027284681130835e-05}",30,18,23.23283475176345,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
313,False,"{'a': 0.75, 'e': 1.0207310475762742e-05}",20,10,19.681777229608052,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
314,False,"{'a': 0.75, 'e': 1.014239928597509e-05}",20,0,29.236899082179306,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
315,False,"{'a': 0.75, 'e': 1.0078105316200555e-05}",20,13,12.52773749118425,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
316,False,"{'a': 0.75, 'e': 1.00144207659029e-05}",25,13,20.756146599222955,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
317,False,"{'a': 0.75, 'e': 9.95133795738837e-06}",20,14,11.153841721127359,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,19,13.931108382753887,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,11,15.686218037915951,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,0,20.248152772536127,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,14,19.051160666725497,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,13,14.727745953844778,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,19,20.61112203273595,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,6,24.305457840314194,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
